Title,Year,Rating
The Dead,1987,7.2
Prizzi's Honor,1985,6.7
Under the Volcano,1984,6.8
Annie,1982,6.6
Victory,1981,6.6
Phobia,1980,4.2
Wise Blood,1979,6.9
The Man Who Would Be King,1975,7.8
The MacKintosh Man,1973,6.3
The Life and Times of Judge Roy Bean,1972,6.8
Fat City,1972,7.3
The Kremlin Letter,1970,6.2
A Walk with Love and Death,1969,6.4
Sinful Davey,1969,5.8
Reflections in a Golden Eye,1967,6.7
The Bible: In the Beginning...,1966,6.2
The Night of the Iguana,1964,7.6
The List of Adrian Messenger,1963,6.8
Freud,1962,7.2
The Misfits,1961,7.2
The Unforgiven,1960,6.6
The Roots of Heaven,1958,6.3
The Barbarian and the Geisha,1958,5.7
"Heaven Knows, Mr. Allison",1957,7.3
Moby Dick,1956,7.3
Beat the Devil,1953,6.4
Moulin Rouge,1952,7.0
The African Queen,1951,7.7
The Red Badge of Courage,1951,7.1
The Asphalt Jungle,1950,7.8
We Were Strangers,1949,6.6
Key Largo,1948,7.7
The Treasure of the Sierra Madre,1948,8.2
The Maltese Falcon,1941,8.0
